event_timestamp,event_date,order_id,client_id
2020-06-20 11:15:00.214920,2020-06-20,6505248,10203732
2020-06-25 06:11:00.180818,2020-06-25,8657808,10971956
2020-06-28 14:57:00.449276,2020-06-28,9455205,15673826
2020-07-03 09:21:00.163130,2020-07-03,8748083,14595285
2020-07-07 17:42:00.498702,2020-07-07,0851481,197167
2020-07-11 18:44:00.124008,2020-07-11,3761244,14177884
2019-07-01 19:43:00.190026,2019-07-01,1090861,15199084
2019-07-20 11:51:00.322774,2019-07-20,2483064,17919158
2019-07-30 23:10:00.161685,2019-07-30,2483064,11924905
2019-08-11 08:24:00.055547,2019-08-11,2483064,4575080
2019-08-20 23:03:00.234848,2019-08-20,5365235,5444134
2019-08-29 15:51:02.307389,2019-08-29,6243165,9836839
2019-09-06 17:06:00.154700,2019-09-06,7145401,2008647
2019-09-15 11:09:00.459606,2019-09-15,7253147,9299684
2019-09-22 19:48:00.173512,2019-09-22,1989914,17267165
2019-10-04 15:44:00.310516,2019-10-04,5531968,7511052
2019-10-11 15:51:00.534303,2019-10-11,7950723,148463
2019-10-17 12:46:00.202546,2019-10-17,7950723,4820928
2019-10-22 05:11:01.490944,2019-10-22,7950723,10944741
2020-02-24 16:31:01.013586,2020-02-24,1954848,3393311
2020-02-29 23:22:00.407386,2020-02-29,8495014,1621490
2020-03-08 18:20:00.353467,2020-03-08,9183643,14595285
2020-03-14 11:00:00.221904,2020-03-14,6312284,1937286
2020-03-21 13:21:01.259456,2020-03-21,1076343,16486562
2020-03-24 17:41:00.684363,2020-03-24,9685815,29328074
2020-03-26 11:37:00.674291,2020-03-26,8442036,13776815
2020-03-27 11:21:00.683477,2020-03-27,9061967,15680196
2020-03-28 14:52:00.434668,2020-03-28,0955516,1921111
2020-03-30 08:45:00.342881,2020-03-30,0375319,17267165
2020-03-31 11:17:00.588490,2020-03-31,4720691,8153848
2020-04-01 09:40:00.518303,2020-04-01,4011773,17046451
2020-04-01 23:21:00.266311,2020-04-01,9220769,29736065
2020-04-02 20:36:00.208535,2020-04-02,8890103,14333868
2020-04-03 16:20:00.761594,2020-04-03,2714069,15631308
2020-04-04 18:20:00.631119,2020-04-04,2064982,6288186
2020-04-05 23:57:00.582668,2020-04-05,2064982,5765760
2020-04-07 10:05:00.558063,2020-04-07,3716389,14007445
2020-04-07 22:10:00.903342,2020-04-07,9396769,6167621
2020-04-08 20:13:00.320317,2020-04-08,2801753,4869560
2020-04-10 10:34:00.421493,2020-04-10,9926176,3988740
2020-04-11 14:03:00.296517,2020-04-11,6601359,15798190
2020-04-13 16:08:00.610751,2020-04-13,1106453,10587706
2020-04-14 19:57:00.268452,2020-04-14,9146769,7809949
2020-04-15 20:01:00.133816,2020-04-15,4122178,17749859
2020-04-17 01:36:00.111329,2020-04-17,9087681,15658066
2020-04-18 17:08:00.319414,2020-04-18,5945058,9478394
2020-04-20 13:39:00.965829,2020-04-20,5167153,14878806
2020-04-21 12:18:00.916196,2020-04-21,8602682,34292502
2020-04-22 03:44:10.282219,2020-04-22,2420147,15662812
2020-04-22 04:27:03.693586,2020-04-22,3207319,15680196
2020-04-22 05:03:04.904121,2020-04-22,3207319,17673371
2020-04-23 11:47:00.865676,2020-04-23,3760571,17247865
2020-04-24 13:38:00.894730,2020-04-24,9472642,28988378
2020-04-25 10:40:00.610328,2020-04-25,9599745,10587706
2020-04-25 20:03:00.758157,2020-04-25,5395685,10587706
2020-04-26 13:47:00.829751,2020-04-26,8285279,10587706
2020-04-26 19:56:00.778467,2020-04-26,1322853,10587706
2020-04-27 14:01:00.930817,2020-04-27,8372743,10587706
2020-04-27 21:04:00.796577,2020-04-27,0305108,10587706
2020-04-28 14:30:00.615502,2020-04-28,9383074,10587706
2020-04-28 21:56:00.263369,2020-04-28,7001125,10587706
2020-04-29 15:31:01.331293,2020-04-29,8257127,10587706
2020-04-30 11:30:01.128036,2020-04-30,9392176,9653234
2020-05-01 10:47:01.279245,2020-05-01,1594014,14261247
2020-05-02 07:26:00.277497,2020-05-02,1594014,15684514
2020-05-02 14:18:00.721425,2020-05-02,0270838,2104721
2020-05-02 21:47:00.719078,2020-05-02,6885296,10434314
2020-05-03 13:26:00.417711,2020-05-03,0217505,17681286
2020-05-03 18:35:00.521182,2020-05-03,5827643,17845136
2020-05-04 11:59:00.874013,2020-05-04,8669929,4360169
2020-05-04 16:22:00.790561,2020-05-04,8669929,15662513
2020-05-05 10:33:00.729709,2020-05-05,3064249,3701923
2020-05-05 18:01:01.016243,2020-05-05,6406904,9864371
2020-05-06 14:52:00.632086,2020-05-06,3535844,18406139
2020-05-07 15:54:00.998794,2020-05-07,7524612,2544175
2020-05-08 16:51:00.470717,2020-05-08,7524612,7369274
2020-05-09 12:38:00.990478,2020-05-09,7524612,14626014
2020-05-09 18:51:00.694563,2020-05-09,4842775,1643316
2020-05-10 10:56:01.821183,2020-05-10,2493049,18043712
2020-05-10 18:15:00.596316,2020-05-10,1021835,10976809
2020-05-11 10:47:01.635470,2020-05-11,1284883,13411720
2020-05-11 18:24:00.965121,2020-05-11,1284883,14370045
2020-05-12 12:08:00.852272,2020-05-12,1971171,12465416
2020-05-12 19:40:00.793306,2020-05-12,4444338,3801649
2020-05-13 14:51:01.910874,2020-05-13,8824615,16762218
2020-05-14 10:27:00.629195,2020-05-14,4164341,6084619
2020-05-15 14:32:01.350646,2020-05-15,1923152,3701923
2020-05-16 12:12:00.838442,2020-05-16,1006034,3701923
2020-05-16 17:20:01.234373,2020-05-16,6514479,3701923
2020-05-17 11:43:01.403378,2020-05-17,5301161,3701923
2020-05-17 17:14:00.413572,2020-05-17,0808613,3701923
2020-05-18 11:12:00.628026,2020-05-18,7139461,12719118
2020-05-18 18:23:00.247215,2020-05-18,4306875,13697268
2020-05-19 13:52:01.194949,2020-05-19,2462237,16732092
2020-05-20 11:02:00.591194,2020-05-20,3869151,13581337
2020-05-20 22:03:01.045250,2020-05-20,2712078,16823454
2020-05-22 02:29:01.152592,2020-05-22,2712078,6374793
2020-05-23 06:28:00.480401,2020-05-23,1536223,16336022
2020-05-23 15:19:01.996550,2020-05-23,9865844,7924648
2020-05-23 23:23:00.603720,2020-05-23,8467644,15577483
2020-05-24 14:00:00.984587,2020-05-24,3220289,17267165
2020-05-24 19:33:00.698798,2020-05-24,7625751,15673826
2020-05-25 12:54:01.265075,2020-05-25,7887274,15680196
2020-05-25 18:01:00.505995,2020-05-25,2531077,17247865
2020-05-26 13:03:01.564280,2020-05-26,1224695,14382171
2020-05-26 21:02:00.407313,2020-05-26,9900952,17069320
2020-05-27 13:45:00.871707,2020-05-27,5483317,17673371
2020-05-28 12:39:00.368563,2020-05-28,3347165,17429654
2020-05-29 14:05:01.084933,2020-05-29,5674329,677794
2020-05-30 10:54:00.720821,2020-05-30,4247141,29029430
2020-05-30 15:55:00.415185,2020-05-30,4247141,9583966
2020-05-31 01:11:01.233539,2020-05-31,4247141,6690401
2020-05-31 12:39:01.131133,2020-05-31,7507695,15034868
2020-05-31 18:51:00.590388,2020-05-31,6450465,5606189
2020-06-01 10:26:01.077941,2020-06-01,3282923,17388770
2020-06-01 14:49:00.525964,2020-06-01,5811267,10921470
2020-06-01 20:50:00.527262,2020-06-01,2728905,14611919
2020-06-02 12:28:00.372524,2020-06-02,2728905,17449983
2020-06-02 18:15:00.578387,2020-06-02,0107045,13793748
2020-06-03 11:56:00.437903,2020-06-03,0107045,7995056
2020-06-03 19:52:00.625615,2020-06-03,2459972,17673371
2020-06-04 17:56:00.292846,2020-06-04,0030617,17673371
2020-06-05 17:15:00.393170,2020-06-05,9322552,17673371
2020-06-06 12:39:00.896792,2020-06-06,1018356,17673371
2020-06-06 17:05:01.299804,2020-06-06,5422586,17673371
2020-06-07 07:51:00.955157,2020-06-07,5422586,17673371
2020-06-07 14:16:00.458550,2020-06-07,7729979,15979672
2020-06-07 19:56:00.600640,2020-06-07,0748039,3102413
2020-06-08 11:53:00.625560,2020-06-08,7148312,7783521
2020-06-08 16:21:01.721065,2020-06-08,5409137,6577316
2020-06-09 04:59:00.759948,2020-06-09,0580859,16608488
2020-06-09 13:23:02.272807,2020-06-09,6557274,9101332
2020-06-09 17:41:00.977018,2020-06-09,9506365,17749859
2020-06-10 08:14:00.208906,2020-06-10,1292998,16232048
2020-06-10 14:43:01.322391,2020-06-10,9571207,7491020
2020-06-10 23:02:00.554873,2020-06-10,9571207,6481690
2020-06-11 17:55:00.532745,2020-06-11,7828771,3555633
2020-06-12 19:07:00.484355,2020-06-12,5080133,17429654
2020-06-13 10:38:00.699858,2020-06-13,5080133,14570341
2020-06-13 14:47:02.356132,2020-06-13,2571089,195170
2020-06-13 19:20:00.557999,2020-06-13,9748116,15658066
2020-06-14 10:21:00.688602,2020-06-14,0935687,16619657
2020-06-14 15:43:01.174450,2020-06-14,0935687,17208876
2020-06-14 21:16:00.647965,2020-06-14,2514419,33131149
2020-06-15 11:57:00.453600,2020-06-15,2502283,9101332
2020-06-15 16:19:00.255241,2020-06-15,8524601,9101332
2020-06-16 06:57:00.200403,2020-06-16,3126785,9101332
2020-06-16 14:15:00.573299,2020-06-16,3126785,9101332
2020-06-17 09:12:00.241737,2020-06-17,8567463,9101332
2020-06-17 15:29:01.001094,2020-06-17,8468396,9101332
2020-06-18 11:38:00.615161,2020-06-18,3043623,9101332
2020-06-19 12:58:00.488177,2020-06-19,2757497,9101332
2020-06-20 09:46:00.554063,2020-06-20,5784977,9101332
2020-06-20 15:33:00.659523,2020-06-20,6419082,9101332
2020-06-21 08:16:00.450054,2020-06-21,1063824,9101332
2020-06-21 13:46:00.645381,2020-06-21,4203733,9101332
2020-06-21 18:40:00.458804,2020-06-21,0966679,9101332
2020-06-22 10:55:00.426976,2020-06-22,4228883,1942796
2020-06-22 16:06:00.177868,2020-06-22,0711592,18556445
2020-06-23 08:24:00.498623,2020-06-23,6928886,2719148
2020-06-23 14:36:00.275707,2020-06-23,0319451,16760808
2020-06-23 22:06:00.560398,2020-06-23,5297668,1507605
2020-06-24 14:42:00.770577,2020-06-24,6856187,2514900
2020-06-25 10:43:00.468424,2020-06-25,6856187,2027040
2020-06-26 13:43:00.667260,2020-06-26,0963685,6983865
2020-06-27 11:50:00.658137,2020-06-27,2018445,11729722
2020-06-27 16:21:00.366791,2020-06-27,2381836,32884881
2020-06-28 08:26:00.364922,2020-06-28,9923419,17890696
2020-06-28 14:24:00.571258,2020-06-28,2995774,15680196
2020-06-28 21:06:00.544456,2020-06-28,5672424,16470699
2020-06-29 12:31:00.864045,2020-06-29,4702469,14675302
2020-06-29 19:37:00.384562,2020-06-29,8042269,17046451
2020-06-30 13:51:00.976233,2020-06-30,3319839,7375903
2020-07-01 02:59:00.133308,2020-07-01,0114551,1077936
2020-07-01 16:23:00.659102,2020-07-01,8641866,9374993
2020-07-02 17:37:00.523925,2020-07-02,9972357,16321635
2020-07-04 08:27:00.132310,2020-07-04,4356838,16608488
2020-07-04 18:04:00.372767,2020-07-04,3238004,17890696
2020-07-05 12:31:00.245382,2020-07-05,7191022,17890696
2020-07-05 19:57:00.344049,2020-07-05,5128192,17890696
2020-07-06 13:54:01.020530,2020-07-06,4717387,17890696
2020-07-06 21:07:00.275834,2020-07-06,0517318,17890696
2020-07-07 16:02:00.297288,2020-07-07,9341322,17890696
2020-07-08 11:08:00.158040,2020-07-08,9167303,17890696
2020-07-08 18:54:00.249650,2020-07-08,0819961,17890696
2020-07-10 00:43:00.365505,2020-07-10,8592985,13257462
2020-07-11 10:48:00.197825,2020-07-11,6342294,6450367
2020-07-11 23:23:00.140728,2020-07-11,6342294,3335726
2020-07-12 14:50:00.966535,2020-07-12,5312384,15715015
2020-07-13 02:51:00.353420,2020-07-13,1257931,15981073
2020-07-13 15:34:00.842360,2020-07-13,6009908,4914935
2020-07-14 11:31:00.273338,2020-07-14,7988408,17449983
2020-07-15 00:41:00.623640,2020-07-15,9844836,9840109
2020-07-15 22:12:00.289331,2020-07-15,1820787,17267165
2020-07-17 18:35:00.453524,2020-07-17,0270296,17388770
